ADDRESS,COMM_CODE,COMM_NAME,ASSESSMENT_CLASS,ASSESSMENT_CLASS_DESCRIPTION,YEAR_OF_CONSTRUCTION,PROPERTY_TYPE,LAT,LON,LAND_SIZE_SM,LAND_SIZE_SF,ASSESSED_VALUE
308 60 SAGE HILL WK NW,SGH,SAGE HILL,RE,Residential,2022,LI,51.1712488,-114.1501733,3280.0,35307.0,330000
28 SCENIC GLEN GA NW,SCE,SCENIC ACRES,RE,Residential,1987,LI,51.1142291,-114.212912,419.0,4510.0,688000
109 EDGEVIEW RD NW,EDG,EDGEMONT,RE,Residential,1990,LI,51.1269415,-114.1502202,719.9,7749.0,1170000
3000 70 PANAMOUNT DR NW,PAN,PANORAMA HILLS,RE,Residential,2003,LI,51.1590516,-114.0720216,2973.7,32010.0,10000
476 WOLF CREEK WY SE,WWO,WOLF WILLOW,RE,Residential,2022,LI,50.8734107,-114.0094427,404.3,4351.0,877500
955 LAKE ARROW WY SE,LKB,LAKE BONAVISTA,RE,Residential,1972,LI,50.9345053,-114.0456828,501.2,5395.0,1200000
126 LIVINGSTON AV NE,LIV,LIVINGSTON,RE,Residential,2023,LI,51.1868451,-114.0685151,222.4,2394.0,627000
4612 VARSITY DR NW,VAR,VARSITY,NR,Non-residential,1971,LI,51.0932813,-114.1536892,3239.2,34867.0,833000
423 SHERWOOD BV NW,SHW,SHERWOOD,RE,Residential,2018,LI,51.1650564,-114.157031,466.1,5017.0,780500
1916 19 AV NW,BNF,BANFF TRAIL,RE,Residential,1952,LI,51.0700585,-114.1053773,557.2,5997.0,725000
74 COVILLE CI NE,COV,COVENTRY HILLS,RE,Residential,2001,LI,51.1721576,-114.0415127,348.6,3752.0,529500
1050 REGAL CR NE,REN,RENFREW,RE,Residential,2022,LI,51.0629048,-114.0386777,278.7,3000.0,946000
402 733 14 AV SW,BLN,BELTLINE,RE,Residential,1967,LI,51.0398545,-114.0778851,3324.0,35780.0,300000
67 EVANSCOVE HT NW,EVN,EVANSTON,RE,Residential,2006,LI,51.1666859,-114.1162047,428.8,4615.0,780500
157 BRIDLECREST MR SW,BRI,BRIDLEWOOD,RE,Residential,2004,LI,50.9029548,-114.1211589,557.7,6003.0,755000
419 ASTORIA CR SE,ACA,ACADIA,RE,Residential,1961,LI,50.9649791,-114.0573834,464.8,5003.0,605000
3313 118 SILVERGROVE DR NW,SIL,SILVER SPRINGS,RE,Residential,1977,LI,51.1130932,-114.2023084,33509.2,360689.0,244500
1401 STRATHCONA DR SW,STR,STRATHCONA PARK,RE,Residential,1999,LI,51.0521791,-114.1966805,682.1,7342.0,992000
4224 VAUXHALL CR NW,VAR,VARSITY,RE,Residential,1964,LI,51.0898287,-114.1487473,561.7,6046.0,1140000
38 ALPINE GD SW,ALP,ALPINE PARK,RE,Residential,2024,LI,50.9197656,-114.1471846,323.0,3477.0,474000
2723 LINDEN DR SW,LKV,LAKEVIEW,RE,Residential,1996,LI,50.9909293,-114.1230044,1639.0,17642.0,5120000
301 4000 SOMERVALE CO SW,SOM,SOMERSET,RE,Residential,2001,LI,50.89553,-114.0671056,11050.0,118941.0,317500
