ADDRESS,COMM_CODE,COMM_NAME,ASSESSMENT_CLASS,ASSESSMENT_CLASS_DESCRIPTION,YEAR_OF_CONSTRUCTION,PROPERTY_TYPE,LAT,LON,LAND_SIZE_SM,LAND_SIZE_SF,ASSESSED_VALUE
19616 40 ST SE,SET,SETON,RE,Residential,2018,LI,50.8762982,-113.9507473,75.0,807.0,467500
938V 25 WALGROVE WK SE,WAL,WALDEN,RE,Residential,2019,LI,50.865823,-114.027334,1900.0,20452.0,10000
63 SKYVIEW SHORES RD NE,SKR,SKYVIEW RANCH,RE,Residential,2012,LI,51.1558149,-113.9680787,352.2,3791.0,725500
238V 55 SPRUCE PL SW,SPR,SPRUCE CLIFF,RE,Residential,2006,LI,51.0432499,-114.1356069,5257.0,56587.0,15000
623 TEMPLESIDE RD NE,TEM,TEMPLE,RE,Residential,1977,LI,51.0822384,-113.9493179,464.4,4999.0,537000
61 SKYVIEW SHORES CR NE,SKR,SKYVIEW RANCH,RE,Residential,2009,LI,51.1583962,-113.9685092,353.8,3808.0,692500
413S 60 ROYAL OAK PZ NW,ROY,ROYAL OAK,RE,Residential,2007,LI,51.1499269,-114.2139016,6410.0,68999.0,2500
145 EVANSMEADE PT NW,EVN,EVANSTON,RE,Residential,2003,LI,51.1606621,-114.1132817,380.8,4099.0,567000
4202 181 SKYVIEW RANCH MR NE,SKR,SKYVIEW RANCH,RE,Residential,2015,LI,51.1641664,-113.9485882,24440.4,263083.0,306000
52 HOBART RD SW,HAY,HAYSBORO,RE,Residential,1959,LI,50.9694822,-114.0935363,552.1,5943.0,627500
161 ROCKY RIDGE CV NW,ROC,ROCKY RIDGE,RE,Residential,1997,LI,51.1436225,-114.2391403,449.7,4841.0,866500
247 TARAVISTA DR NE,TAR,TARADALE,RE,Residential,2003,LI,51.1202676,-113.9356318,269.0,2896.0,538000
39 ASPEN MEADOWS GR SW,ASP,ASPEN WOODS,RE,Residential,2005,LI,51.0420769,-114.1892897,402.0,4327.0,1250000
1062V 7451 SPRINGBANK BV SW,SPH,SPRINGBANK HILL,RE,Residential,1999,LI,51.0175823,-114.1947215,9920.0,106778.0,10000
1102 6 ST NE,REN,RENFREW,RE,Residential,1947,LI,51.0616827,-114.0477263,438.1,4716.0,592500
401 10 DOVER PT SE,DOV,DOVER,RE,Residential,1995,LI,51.0170141,-113.9987054,13030.0,140254.0,233000
203 TEMPLEHILL DR NE,TEM,TEMPLE,RE,Residential,1978,LI,51.0862031,-113.9464088,17968.7,193413.0,297500
390V 60 24 AV SW,ERL,ERLTON,RE,Residential,2000,LI,51.0326023,-114.0613276,3830.0,41226.0,15000
4152 MARYVALE RD NE,MRL,MARLBOROUGH,RE,Residential,1971,LI,51.0570927,-113.9723923,611.9,6587.0,515500
548 COACH GROVE RD SW,COA,COACH HILL,RE,Residential,1986,LI,51.0545319,-114.1739068,828.8,8921.0,1030000
2008 48 ST SE,FLI,FOREST LAWN -  INDUSTRIAL,NR,Non-residential,1972,LI,51.0356225,-113.9641463,8093.2,87114.0,3730000
59 DEERCROSS RD SE,DRN,DEER RUN,RE,Residential,1983,LI,50.9250192,-114.0107182,494.6,5324.0,655000
259 4999 43 ST SE,EFI,EASTFIELD,NR,Non-residential,2000,LI,51.0095932,-113.9698887,10370.0,111625.0,213000
247 REDSTONE BV NE,RSN,REDSTONE,RE,Residential,2019,LI,51.1694619,-113.9512638,181.5,1954.0,482500
548 PANATELLA WK NW,PAN,PANORAMA HILLS,RE,Residential,2014,LI,51.1716428,-114.0741912,19479.5,209682.0,457500
3716 2 ST NW,HPK,HIGHLAND PARK,NR,Non-residential,1956,LI,51.0856935,-114.066008,5927.5,63805.0,1190000
169 HOWSE AV NE,LIV,LIVINGSTON,RE,Residential,2017,LI,51.1872061,-114.0673723,260.5,2805.0,640000
155 270 NOLANRIDGE CR NW,02C,RESIDUAL WARD 2 - SUB AREA 2C,NR,Non-residential,2022,LI,51.1696761,-114.1726149,5200.0,55974.0,563500
13 TUSCANY VALLEY GR NW,TUS,TUSCANY,RE,Residential,1998,LI,51.1300471,-114.245402,258.0,2777.0,581000
826V 30 DISCOVERY RIDGE CL SW,DIS,DISCOVERY RIDGE,RE,Residential,2006,LI,51.0129827,-114.2129228,2531.7,27252.0,10000
409 60 24 AV SW,ERL,ERLTON,RE,Residential,2000,LI,51.0326023,-114.0613276,3830.0,41226.0,457500
2615 15 ST SW,BNK,BANKVIEW,RE,Residential,1952,LI,51.0309926,-114.0972266,518.7,5584.0,827000
6132 TWEED ST NE,THO,THORNCLIFFE,RE,Residential,1966,LI,51.106588,-114.0599901,469.7,5056.0,544500
217 8505 BROADCAST AV SW,WSP,WEST SPRINGS,RE,Residential,2019,LI,51.0643048,-114.2093328,2220.0,23897.0,615500
308 812 8 ST SE,ING,INGLEWOOD,RE,Residential,1911,LI,51.0438432,-114.0407175,1510.9,16264.0,366000
16367 SOMERCREST ST SW,SOM,SOMERSET,RE,Residential,1999,LI,50.9021748,-114.0905098,382.9,4122.0,562000
127 VALLEY BROOK CI NW,VAL,VALLEY RIDGE,RE,Residential,1997,LI,51.0903288,-114.2423918,440.7,4743.0,652000
513 DIAMOND CO SE,DIA,DIAMOND COVE,RE,Residential,1992,LI,50.943362,-114.0182205,762.1,8203.0,867000
1428 18A ST NE,MAL,MAYLAND HEIGHTS,RE,Residential,1959,LI,51.0649151,-114.0141535,557.0,5996.0,598500
27 WHITAKER BA NE,WHI,WHITEHORN,RE,Residential,1981,LI,51.0855214,-113.978111,333.4,3589.0,400500
711 42 ST SE,FHT,FOREST HEIGHTS,RE,Residential,1972,LI,51.0474379,-113.9724782,390.6,4205.0,405000
56 EVANSTON RI NW,EVN,EVANSTON,RE,Residential,2004,LI,51.1631182,-114.1173156,394.5,4247.0,759500
7203 3 ST NE,HUN,HUNTINGTON HILLS,RE,Residential,1973,LI,51.1163661,-114.0562832,551.4,5935.0,568000
1910 26 ST SW,KIL,KILLARNEY/GLENGARRY,RE,Residential,1955,LI,51.0374536,-114.123363,580.1,6244.0,791500
926 19 AV NW,MOP,MOUNT PLEASANT,RE,Residential,1992,LI,51.0700706,-114.0828643,331.2,3565.0,825500
39 GOVERNOR DR SW,GLA,GLAMORGAN,RE,Residential,1957,LI,51.0142189,-114.1495991,588.1,6330.0,673000
103 1502 21 AV SW,BNK,BANKVIEW,RE,Residential,1968,LI,51.0352627,-114.0962336,820.8,8835.0,149000
86 EVANSBROOKE MR NW,EVN,EVANSTON,RE,Residential,2004,LI,51.1656824,-114.1233788,493.9,5316.0,677500
808 80 POINT MCKAY CR NW,POI,POINT MCKAY,RE,Residential,1981,LI,51.062677,-114.1477102,9752.9,104979.0,382000
3 308 32 AV NE,HPK,HIGHLAND PARK,RE,Residential,2023,LI,51.0819198,-114.0571413,530.0,5705.0,687500
3907 25 AV SW,GDL,GLENDALE,RE,Residential,1954,LI,51.0315173,-114.1429619,471.3,5074.0,791500
148 RUNDLEHILL DR NE,RUN,RUNDLE,RE,Residential,1975,LI,51.0757918,-113.9693756,464.5,5000.0,576500
11040 BRATON PL SW,BRA,BRAESIDE,RE,Residential,1968,LI,50.9552393,-114.1004474,510.6,5496.0,635500
138 COVEWOOD CI NE,COV,COVENTRY HILLS,RE,Residential,2002,LI,51.168438,-114.0444626,332.2,3576.0,583000
116 CITADEL PA NW,CIT,CITADEL,RE,Residential,1993,LI,51.1437108,-114.1745319,517.1,5566.0,949000
210 FORTRESS BA SW,SPH,SPRINGBANK HILL,RE,Residential,2011,LI,51.023444,-114.210254,930.0,10011.0,1850000
2317 ERLTON ST SW,ERL,ERLTON,RE,Residential,1999,LI,51.0328412,-114.0627076,106.5,1147.0,778000
18 GLAMIS GD SW,GLA,GLAMORGAN,RE,Residential,1980,LI,51.0121872,-114.164278,20072.4,216057.0,500500
1503 108 WATERFRONT CO SW,CHN,CHINATOWN,RE,Residential,2015,LI,51.0533633,-114.0660928,7377.8,79417.0,661000
449 EVANSTON VW NW,EVN,EVANSTON,RE,Residential,2006,LI,51.1674842,-114.1122512,423.8,4562.0,672000
188 DEER RUN CL SE,DRN,DEER RUN,RE,Residential,1978,LI,50.9196369,-114.0101894,505.6,5442.0,678500
242 MT DOUGLAS CL SE,MCK,MCKENZIE LAKE,RE,Residential,2000,LI,50.9248499,-113.9837328,469.7,5056.0,823000
38 EVERGLADE WY SW,EVE,EVERGREEN,RE,Residential,2005,LI,50.9235309,-114.1309422,426.7,4593.0,949000
47 ROYAL CREST WY NW,ROY,ROYAL OAK,RE,Residential,1998,LI,51.1395313,-114.2160497,448.1,4823.0,815500
23 2519 38 ST NE,RUN,RUNDLE,RE,Residential,1978,LI,51.0748181,-113.978868,19448.6,209343.0,301000
264 WOODFIELD RD SW,WBN,WOODBINE,RE,Residential,1983,LI,50.9345952,-114.124933,542.2,5837.0,804000
108 1410 2 ST SW,BLN,BELTLINE,RE,Residential,1995,LI,51.039565,-114.0675964,2753.6,29639.0,241000
15 INVERNESS GV SE,MCT,MCKENZIE TOWNE,RE,Residential,1997,LI,50.9126985,-113.974436,604.2,6504.0,511000
611 DEERCROFT WY SE,DRN,DEER RUN,RE,Residential,1979,LI,50.9181199,-114.0034912,551.6,5938.0,675000
151 SCHOONER CV NW,SCE,SCENIC ACRES,RE,Residential,1995,LI,51.1229544,-114.2269546,796.4,8572.0,877000
201 MAGNOLIA TC SE,MAH,MAHOGANY,RE,Residential,2021,LI,50.8882526,-113.9164144,242.7,2612.0,571500
384V 200 SETON CI SE,SET,SETON,RE,Residential,2022,LI,50.8698579,-113.9549954,2770.0,29817.0,10000
33 HARVEST PARK PL NE,HAR,HARVEST HILLS,RE,Residential,1998,LI,51.1496237,-114.0560723,445.0,4790.0,651500
8496 19 AV SE,BVD,BELVEDERE,RE,Residential,2023,LI,51.0358565,-113.9113265,143.7,1547.0,547000
410 727 56 AV SW,WND,WINDSOR PARK,RE,Residential,1982,LI,51.0032744,-114.079507,3093.7,33300.0,276500
85 COVEPARK RD NE,COV,COVENTRY HILLS,RE,Residential,2005,LI,51.1684616,-114.0519097,318.1,3424.0,535500
35A NEW ST SE,ING,INGLEWOOD,RE,Residential,1946,LI,51.0412298,-114.0280209,336.1,3618.0,574500
31 300 EVANSCREEK CO NW,EVN,EVANSTON,RE,Residential,2006,LI,51.1666962,-114.1192121,126.0,1356.0,459000
416 EVANSTON VW NW,EVN,EVANSTON,RE,Residential,2005,LI,51.1664717,-114.1128603,418.7,4507.0,698000
5220 66 ST NW,SIL,SILVER SPRINGS,RE,Residential,1973,LI,51.0990236,-114.1819613,582.1,6266.0,759500
88 ROWMONT DR NW,HSN,HASKAYNE,RE,Residential,2022,LI,51.1047826,-114.2743761,254.8,2743.0,810500
87 DEER RIDGE WY SE,DRG,DEER RIDGE,RE,Residential,1984,LI,50.9288211,-114.0233907,439.6,4732.0,507500
17 111 TARAWOOD LN NE,TAR,TARADALE,RE,Residential,2003,LI,51.1223843,-113.9426896,153.0,1647.0,353500
122 CUMBERLAND DR NW,CAM,CAMBRIAN HEIGHTS,RE,Residential,1957,LI,51.0843592,-114.0885976,556.9,5995.0,680500
327 360 HARVEST HILLS WY NE,HAR,HARVEST HILLS,RE,Residential,2021,LI,51.1526399,-114.0413166,8300.0,89343.0,352000
8119 BOWGLEN RD NW,BOW,BOWNESS,RE,Residential,2011,LI,51.0894491,-114.2035826,640.0,6889.0,915500
178 EVANSRIDGE PL NW,EVN,EVANSTON,RE,Residential,2012,LI,51.1768468,-114.1238314,439.0,4726.0,977500
122 8 ST NE,BRD,BRIDGELAND/RIVERSIDE,RE,Residential,2007,LI,51.0529246,-114.0418525,1980.0,21313.0,269000
303 WOODPARK PL SW,WOO,WOODLANDS,RE,Residential,1976,LI,50.9435475,-114.1071729,606.3,6527.0,690000
82V 40 PARKRIDGE VW SE,PKL,PARKLAND,RE,Residential,2001,LI,50.9191496,-114.0235291,6180.0,66521.0,10000
153V 510 EDMONTON TR NE,BRD,BRIDGELAND/RIVERSIDE,RE,Residential,2014,LI,51.0563354,-114.0530187,3972.6,42762.0,15000
56 5625 SILVERDALE DR NW,SIL,SILVER SPRINGS,RE,Residential,1976,LI,51.102578,-114.1893176,19303.5,207781.0,391000
128 SCHUBERT HL NW,SCE,SCENIC ACRES,RE,Residential,1991,LI,51.1273245,-114.2247622,491.9,5294.0,784000
8 714 5A ST NW,SSD,SUNNYSIDE,RE,Residential,1978,LI,51.057535,-114.0751218,836.1,9000.0,339000
8 104 VILLAGE HT SW,PAT,PATTERSON,RE,Residential,1987,LI,51.0568436,-114.169591,67991.8,731857.0,379000
256 16 AV NE,TUX,TUXEDO PARK,NR,Non-residential,1996,LI,51.0670831,-114.0565355,4062.1,43726.0,4390000
424 TEMPLEVIEW DR NE,TEM,TEMPLE,RE,Residential,1978,LI,51.082446,-113.9417211,232.2,2499.0,397500
4411 52 ST NW,VAR,VARSITY,RE,Residential,1967,LI,51.0909817,-114.1620092,520.6,5604.0,798500
555 MAHOGANY BV SE,MAH,MAHOGANY,RE,Residential,2015,LI,50.9029039,-113.9135652,324.0,3487.0,682000
3202 3 ST SW,ROX,ROXBORO,RE,Residential,1930,LI,51.0260664,-114.0693694,583.4,6280.0,1540000
221V 25 ASPENMONT HT SW,ASP,ASPEN WOODS,RE,Residential,2013,LI,51.03841,-114.2137343,2840.0,30571.0,10000
73 3745 FONDA WY SE,FHT,FOREST HEIGHTS,RE,Residential,1978,LI,51.0511518,-113.9784948,16428.3,176833.0,219000
103 1534 15 AV SW,SNA,SUNALTA,RE,Residential,1968,LI,51.039972,-114.0965605,906.2,9755.0,184000
64 SILVERADO RANGE CL SW,SVO,SILVERADO,RE,Residential,2006,LI,50.8858134,-114.0755436,343.7,3699.0,529500
16 WOODCROFT PL SW,WOO,WOODLANDS,RE,Residential,1980,LI,50.9420901,-114.1027669,657.9,7081.0,764000
303 650 EAU CLAIRE AV SW,EAU,EAU CLAIRE,RE,Residential,2007,LI,51.052608,-114.0734211,7100.0,76426.0,831000
45 3015 51 ST SW,GBK,GLENBROOK,RE,Residential,1979,LI,51.028883,-114.1626939,31632.0,340483.0,299500
155 CANTREE PL SW,CAN,CANYON MEADOWS,RE,Residential,1973,LI,50.9402749,-114.0737347,833.3,8970.0,630500
5404 THORNDALE RD NW,THO,THORNCLIFFE,RE,Residential,1954,LI,51.1002021,-114.0688609,557.0,5996.0,539500
17 CADOGAN RD NW,CAM,CAMBRIAN HEIGHTS,RE,Residential,1957,LI,51.0850525,-114.0913151,556.9,5995.0,736500
215 19621 40 ST SE,SET,SETON,RE,Residential,2018,LI,50.8766343,-113.9521017,4722.0,50829.0,264000
319 TUSCANY ESTATES RI NW,TUS,TUSCANY,RE,Residential,2009,LI,51.1102304,-114.254251,608.5,6550.0,1430000
228 CITADEL PASS CO NW,CIT,CITADEL,RE,Residential,1992,LI,51.1416079,-114.1803896,449.6,4840.0,670500
212 1905 27 AV SW,SOC,SOUTH CALGARY,RE,Residential,2007,LI,51.0290835,-114.105114,1159.5,12481.0,489500
629 910 CENTRE AV NE,BRD,BRIDGELAND/RIVERSIDE,RE,Residential,2005,LI,51.0529246,-114.0418525,3200.0,34446.0,326000
69 BRIGHTONCREST HT SE,NEB,NEW BRIGHTON,RE,Residential,2012,LI,50.922466,-113.9431664,369.4,3977.0,723500
20 SIMCOE PL SW,SIG,SIGNAL HILL,RE,Residential,2000,LI,51.0359297,-114.1831504,440.7,4744.0,719500
420 SILVER VALLEY DR NW,SIL,SILVER SPRINGS,RE,Residential,1975,LI,51.1079693,-114.205841,673.4,7249.0,774000
11 181 ROCKYLEDGE VW NW,ROC,ROCKY RIDGE,RE,Residential,2007,LI,51.1416437,-114.2487241,4200.0,45210.0,354500
86 SILVERADO CREST PL SW,SVO,SILVERADO,RE,Residential,2016,LI,50.8811649,-114.0894041,658.2,7085.0,1010000
783 LAKE TWINTREE CR SE,LKB,LAKE BONAVISTA,RE,Residential,1971,LI,50.9388184,-114.0456302,464.2,4997.0,930000
184 WESTON MR SW,WSP,WEST SPRINGS,RE,Residential,2003,LI,51.0658537,-114.193872,359.9,3874.0,675000
120 MASTERS CR SE,MAH,MAHOGANY,RE,Residential,2016,LI,50.8983189,-113.9066477,318.0,3423.0,784500
695 ERIN WOODS DR SE,ERI,ERIN WOODS,RE,Residential,1992,LI,51.0186634,-113.9620655,304.4,3277.0,488000
289V 1111 10 ST SW,BLN,BELTLINE,RE,Residential,2008,LI,51.0425367,-114.0865746,2120.0,22820.0,25000
38 COPPERSTONE VI SE,CPF,COPPERFIELD,RE,Residential,2016,LI,50.9140496,-113.9180189,260.1,2800.0,474000
119V 1010 ARBOUR LAKE RD NW,ARB,ARBOUR LAKE,RE,Residential,1999,LI,51.1338921,-114.2112132,4657.0,50127.0,10000
7630 25 ST SE,OGD,OGDEN,RE,Residential,1971,LI,50.9839334,-113.9995788,280.6,3020.0,411500
78V 788 12 AV SW,BLN,BELTLINE,RE,Residential,2008,LI,51.042304,-114.0783115,1570.0,16900.0,25000
220 CHRISTIE PARK MR SW,CHR,CHRISTIE PARK,RE,Residential,1989,LI,51.0407126,-114.1732057,488.7,5261.0,979500
331 PANORAMA HILLS TC NW,PAN,PANORAMA HILLS,RE,Residential,2001,LI,51.153788,-114.0898083,690.0,7427.0,723000
147 REDSTONE HT NE,RSN,REDSTONE,RE,Residential,2016,LI,51.1732987,-113.9677642,377.2,4060.0,666500
2 934 MEMORIAL DR NW,SSD,SUNNYSIDE,RE,Residential,1980,LI,51.0540922,-114.0808272,1021.9,11000.0,790500
4317 10 AV SW,RCK,ROSSCARROCK,RE,Residential,1968,LI,51.04299,-114.1491093,869.6,9360.0,1100000
205V 1107 GLADSTONE RD NW,HIL,HILLHURST,RE,Residential,2019,LI,51.0562469,-114.0863759,859.2,9249.0,15000
159 PROMINENCE HT SW,PAT,PATTERSON,RE,Residential,1998,LI,51.0586841,-114.1758544,348.3,3749.0,570500
219 CANTREE BA SW,CAN,CANYON MEADOWS,RE,Residential,1974,LI,50.9378705,-114.0722957,836.1,9000.0,689500
301 71 SHAWNEE CM SW,SHS,SHAWNEE SLOPES,RE,Residential,2019,LI,50.9237858,-114.0784905,1916.0,20625.0,470500
66 AUBURN SOUND CL SE,AUB,AUBURN BAY,RE,Residential,2014,LI,50.8958457,-113.961841,941.7,10136.0,1160000
51 EVEROAK GR SW,EVE,EVERGREEN,RE,Residential,2008,LI,50.9154537,-114.1165162,348.9,3756.0,723000
31 LAKE GENEVA PL SE,LKB,LAKE BONAVISTA,RE,Residential,1971,LI,50.9387954,-114.0416758,588.0,6330.0,1010000
6305A BOWWOOD DR NW,BOW,BOWNESS,RE,Residential,1977,LI,51.0840618,-114.179105,229.3,2469.0,356500
3320 9 ST SE,HIF,HIGHFIELD,NR,Non-residential,1967,LI,51.0248579,-114.0393207,5317.9,57243.0,3080000
63 INVERNESS GD SE,MCT,MCKENZIE TOWNE,RE,Residential,1996,LI,50.9146665,-113.9718179,531.7,5724.0,591500
135 EVEROAK CL SW,EVE,EVERGREEN,RE,Residential,2007,LI,50.9144904,-114.1113935,387.1,4167.0,800500
320 WOODBINE BV SW,WBN,WOODBINE,RE,Residential,1981,LI,50.9467251,-114.1269278,416.2,4480.0,577500
26 ROCK LAKE VW NW,ROC,ROCKY RIDGE,RE,Residential,2016,LI,51.1485149,-114.2369817,410.0,4413.0,1340000
31 RIVERVIEW CI SE,RIV,RIVERBEND,RE,Residential,1994,LI,50.9672099,-114.0138418,496.9,5349.0,692500
28 SAGE BANK WY NW,SGH,SAGE HILL,RE,Residential,2012,LI,51.1795065,-114.1563949,357.8,3852.0,785000
402 2300 EVANSTON SQ NW,EVN,EVANSTON,RE,Residential,2012,LI,51.1728949,-114.1162177,2520.7,27133.0,381000
313V 10 DISCOVERY RIDGE CL SW,DIS,DISCOVERY RIDGE,RE,Residential,2005,LI,51.0129439,-114.2135522,6870.0,73950.0,10000
410 617 56 AV SW,WND,WINDSOR PARK,RE,Residential,1977,LI,51.0032737,-114.0769425,2842.4,30595.0,243000
1929 30 AV SW,SOC,SOUTH CALGARY,RE,Residential,2005,LI,51.0263227,-114.1062023,290.5,3127.0,953500
615 52 ST NE,MRL,MARLBOROUGH,RE,Residential,1970,LI,51.0582852,-113.9581187,676.5,7282.0,618500
344 DOVERVIEW CR SE,DOV,DOVER,RE,Residential,1973,LI,51.0169242,-113.9839429,445.8,4799.0,467500
281 PATTERSON BV SW,PAT,PATTERSON,RE,Residential,1998,LI,51.0675562,-114.1854931,761.8,8200.0,1050000
37 SIMCOE ME SW,SIG,SIGNAL HILL,RE,Residential,2000,LI,51.0318319,-114.1811892,787.3,8474.0,1100000
4302 385 PATTERSON HL SW,PAT,PATTERSON,RE,Residential,1988,LI,51.0631048,-114.1823529,4550.0,48976.0,244500
1818 16 AV NW,CAP,CAPITOL HILL,NR,Non-residential,2004,LI,51.0677635,-114.1037861,17300.0,186222.0,22900000
19 AUBURN BAY MR SE,AUB,AUBURN BAY,RE,Residential,2006,LI,50.885274,-113.9653696,272.0,2928.0,552500
367 94 AV SE,ACA,ACADIA,RE,Residential,1962,LI,50.9685466,-114.0611922,464.5,5000.0,615000
4515 NAMAKA CR NW,NHV,NORTH HAVEN,RE,Residential,1965,LI,51.0916354,-114.0910074,768.8,8275.0,704000
309 1110 3 AV NW,HIL,HILLHURST,RE,Residential,2011,LI,51.0558189,-114.0860856,3161.4,34030.0,395500
7 CEDARBROOK CL SW,CED,CEDARBRAE,RE,Residential,1987,LI,50.957266,-114.1254208,545.9,5876.0,755500
3004 1122 3 ST SE,BLN,BELTLINE,RE,Residential,2012,LI,51.0418405,-114.0555448,214.8,2312.0,462000
318 20 ROYAL OAK PZ NW,ROY,ROYAL OAK,RE,Residential,2008,LI,51.150414,-114.2162957,6329.0,68127.0,355500
168 MARTINDALE BV NE,MRT,MARTINDALE,RE,Residential,1989,LI,51.1144383,-113.9577151,237.8,2560.0,451000
6 TARARIDGE DR NE,TAR,TARADALE,RE,Residential,1983,LI,51.1109839,-113.9399923,420.3,4524.0,582500
60 CITADEL GV NW,CIT,CITADEL,RE,Residential,1997,LI,51.143088,-114.1662773,531.2,5718.0,821000
2028 KENSINGTON RD NW,WHL,WEST HILLHURST,RE,Residential,1950,LI,51.0525999,-114.1069125,904.2,9733.0,1070000
434 TUSCANY RIDGE HT NW,TUS,TUSCANY,RE,Residential,2004,LI,51.1287144,-114.2552576,312.3,3361.0,612500
80 SCENIC HILL CL NW,SCE,SCENIC ACRES,RE,Residential,1987,LI,51.1193655,-114.220788,449.5,4839.0,640500
44 SHERWOOD WY NW,SHW,SHERWOOD,RE,Residential,2006,LI,51.1586371,-114.143932,466.0,5016.0,914000
3915 VARMOOR RD NW,VAR,VARSITY,RE,Residential,1969,LI,51.0820089,-114.1442817,796.2,8570.0,911000
260 4037 42 ST NW,VAR,VARSITY,RE,Residential,1979,LI,51.0859199,-114.1510732,23148.0,249163.0,553000
110 10 BRENTWOOD CM NW,BRE,BRENTWOOD,NR,Non-residential,2013,LI,51.0868743,-114.1285667,3772.8,40611.0,921000
528V 310 12 AV SW,BLN,BELTLINE,RE,Residential,2015,LI,51.0421072,-114.0692241,2690.0,28956.0,25000
54 AUBURN SPRINGS CL SE,AUB,AUBURN BAY,RE,Residential,2014,LI,50.8893208,-113.9485045,372.1,4005.0,841500
355 MILLRISE DR SW,MLR,MILLRISE,RE,Residential,1989,LI,50.917642,-114.090753,479.6,5163.0,605000
136 24 AV SW,MIS,MISSION,RE,Residential,1990,LI,51.0318246,-114.0659126,607.0,6534.0,596000
2424 44 ST SE,FLN,FOREST LAWN,RE,Residential,1958,LI,51.0322813,-113.9693572,556.9,5995.0,465000
267V 730 2 AV SW,EAU,EAU CLAIRE,RE,Residential,2022,LI,51.0517377,-114.0771544,2650.0,28525.0,37000
188 WESTON MR SW,WSP,WEST SPRINGS,RE,Residential,2003,LI,51.0657549,-114.1938675,341.0,3671.0,722500
52 5625 SILVERDALE DR NW,SIL,SILVER SPRINGS,RE,Residential,1976,LI,51.102578,-114.1893176,19303.5,207781.0,365000
172S 790 KINGSMERE CR SW,KIN,KINGSLAND,RE,Residential,2000,LI,50.9891959,-114.0742856,3590.0,38644.0,2500
6437 PENBROOKE DR SE,PEN,PENBROOKE MEADOWS,RE,Residential,1974,LI,51.0484189,-113.9411974,325.4,3502.0,354000
2041 27 ST SE,SOV,SOUTHVIEW,RE,Residential,1955,LI,51.0345033,-113.993826,558.1,6008.0,520500
287V 550 RIVERFRONT AV SE,DNE,DOWNTOWN EAST VILLAGE,RE,Residential,2012,LI,51.0475453,-114.0495841,3053.7,32871.0,37000
